Name,Values,Is_Presented_In_Table1,,,
Smoking,"Z720,Y93G2,Z716,Z87891,F17200,F17201,F17203,F17208,F17209,F17210,F17211,F17213,F17218,F17219,F17290,F17291,F17293,F17298,F17299",1,,,
Dyslipidemia,E785,1,,,
Hypertension,I10,1,,,
Congestive_Heart_Failure,"I110,I130,I132,I255,I420,I425,I426,I427,I428,I429,I501,I5020,I5021,I5022,I5023,I5030,I5031,I5032,I5033,I5040,I5041,I5042,I5043,I50810,I50811,I50812,I50813,I50814,I5082,I5083,I5084,I5089,I509",1,,,
Stroke_TIA_Thromboembolism,"Z8673,G450,G451,G453,G454,G458,G459,I6300,I63011,I63012,I63013,I63019,I6302,I63031,I63032,I63033,I63039,I6309,I6310,I63111,I63112,I63113,I63119,I63131,I63132,I63133,I63139,I6320,I63211,I63212,I63213,I63219,I6322,I63231,I63233,I63239,I6329,I6330,I63311,I63312,I63313,I63319,I63321,I63322,I63323,I63329,I63331,I63332,I63333,I63339,I63341,I63342,I63343,I6339,I6340,I63411,I63412,I63413,I63419,I63421,I63422,I63423,I63429,I63431,I63432,I63433,I63439,I63441,I63442,I63443,I63449,I6349,I6350,I63511,I63512,I63513,I63519,I63521,I63522,I63523,I63529,I63531,I63532,I63533,I63539,I63541,I63543,I63549,I6359,I636,I6381,I6389,I639,I7401,I7409,I7410,I7411,I7419,I742,I743,I744,I745,I748,I749,I820,I821,I82210,I82211,I82220,I82221,I82290,I82291,I823,I82401,I82402,I82403,I82409,I82411,I82412,I82413,I82419,I82421,I82422,I82423,I82429,I82431,I82432,I82433,I82439,I82441,I82442,I82443,I82449,I82451,I82453,I82459,I82461,I82462,I82463,I82469,I82491,I82492,I82493,I82499,I824Y1,I824Y2,I824Y3,I824Y9,I824Z1,I824Z2,I824Z3,I824Z9,I82501,I82502,I82503,I82509,I82511,I82512,I82513,I82529,I82521,I82522,I82523,I82529,I82531,I82532,I82533,I82539,I82541,I82542,I82543,I82549,I82551,I82552,I82553,I82559,I82561,I82562,I82563,I82569,I82591,I82592,I82593,I82599,I825Y1,I825Y2,I825Y3,I825Y9,I825Z1,I825Z2,I825Z3,I825Z9,I82601,I82602,I82603,I82609,I82611,I82612,I82613,I82619,I82621,I82622,I82623,I82629,I82701,I82702,I82703,I82709,I82711,I82712,I82713,I82719,I82721,I82822,I82723,I82729,I82A11,I82A12,I82A13,I82A19,I82A21,I82A22,I82A23,I82A29,I82B11,I82B12,I82B13,I82B19,I82B21,I82B22,I82B23,I82B29,I82C11,I82C12,I82C13,I82C19,I82C21,I82C22,I82C23,I82C29,I82811,I82812,I82813,I82819,I82890,I82891,I8290,I8291,I81",0,,,
Vascular_Disease_History,"I700,I701,I70201,I70202,I70203,I70208,I70209,I70211,I70212,I70213,I70218,I70219,I70221,I70222,I70223,I70228,I70229,I70231,I70232,I70233,I70238,I70239,I7034,I7035,I70241,I70242,I70243,I70244,I70245,I70248,I70249,I7025,I70261,I70262,I70263,I70268,I70269,I70291,I70292,I70293,I70298,I70299,I70301,I70302,I70303,I70308,I70309,I70311,I70312,I70313,I70318,II70319,I70323,I70321,I70322,I70328,I70329,I70331,I70332,I70333,I70333,I70334,I70335,I70338,I70339,I70334,I70335,I70341,I70342,I70343,I70344,I70345,I70348,I70349,I7035,I70361,I70362,I70363,I70368,I70369,I70391,I70392,I70393,I70398,I70399,I70401,I70402,I70403,I70408,I70409,I70411,I70412,I70411,I70412,I70413,I70418,I70419,I70421,I70422,I70423,I70428,I70429,I70431,I70432,I70433,I70434,I70435,I70438,I70439,I70441,I70442,I70443,I70444,I70445,I70448,I70449,I7045,I70461,I70462,I70463,I70468,I70469,I70491,I70492,I70493,I70498,I70499,I70501,I70502,I70503,I70508,I70509,I70511,I70512,I70513,I70518,I70519,I70521,I70522,I70523,I70528,I70529,I70531,I70532,I70533,I70534,I70535,I70538,I70539,I70541,I70542,I70543,I70544,I70545,I70548,I70549,I7055,I70561,I70562,I70563,I70568,I70569,I70591,I70592,I70593,I70598,I70599,I70601,I70602,I70603,I70604,I70608,I70609,I70621,I70622,I70623,I70628,I70629,I70631,I70632,I70633,I70734,I70641,I70642,I70643,I70648,I7064,I707435,I735638,I70639,I70641,I70742,I70743,I70744,I70645,I70648,I70649,I7065,I70661,I70662,I70663,I706664,I70665,I70668,I70669,I70691,I70692,I70693,I70698,I70699,I70701,I70702,I70703,I70708,I70709,I70711,I70712,I70713,I70718,I70819,I70721,I70722,I70723,I70728,I70729,I70731,I70732,I70733,I70734,I70735,I70738,I70739,I70741,I70742,I70743,I70744,I70745,I70748,I70749,I70761,I70762,I70763,I70768,I70769,I70791,I70792,I70793,I70798,I70798,I70799,I708,I7090,I7091,I7092,I7100,I71010,I71011,I71012,I71019,I7102,I7103,I7110,I7111,I7112,I7113,I7120,I7121,I7122,I7123,I7130,I7131,I7132,I7133,I7140,I7141,I7142,I7143,I7150,I7151,I7152,I7160,I7161,I7162,I718,I719,I731,I738,I739,I771,I790,I791,I798,K551,K558,K559,Z958,Z959",0,,,
Diabetes,"E1010,E1011,E1021,E1022,E1029,E10311,E10319,E103211,E103212,E103123,E103129,E103291,E103292,E133492,E133493,E133499,E133511,E133512,E133513,E133519,E133521,E133522,E133523,E133529,E133531,E133532,E133533,E133539,E133541,E133542,E133543,E133549,E133551,E133552,E133553,E133559,E133591,E133592,E133593,E133599,E1337X1,E1337X2,E1337X3,E1337X9,E1340,E1341,E1342,E1343,E1344,E1349,E1351,E1352,E1359,E13610,E13618,E13620,E13621,E13628,E13630,E13638,E13641,E13649,E1365,E1369,E138,E139,E103293,E103299,E103411,E104312,E103413,E103419,E103491,E103492,E103493,E103499,E103511,E103512,E103513,E103519,E103521,E103523,E103529,E103531,E103532,E103533,E103539,E103541,E103542,E103543,E103549,E103551,E103552,E103533,E103559,E103591,E103592,E103593,E103599,E1037X1,E1037X2,E1037X3,E1037X4,E1040,E1041,E1042,E1043,E1044,E1049,E1051,E1052,E1059,E10610,E10618,E10620,E10621,E10622,E10623,E10628,E10630,E10638,E10641,E10649,E1065,E1069,E108,E109,E1100,E1101,E1110,E1111,E1121,E1122,E1129,E11311,E11319,E113211,E113212,E113213,E113219,E113291,E113292,E113293,E113299,E113311,E113312,E113313,E113319,E113391,E113392,E113393,E113399,E113411,E113412,E113413,E113419,E113491,E113492,E113493,E113499,E113511,E113512,E113513,E113519,E113521,E113522,E113523,E113529,E113531,E113532,E113533,E113539,E113541,E113542,E113543,E113549,E113551,E113552,E113553,E113559,E113591,E113592,E113593,E113599,E1136,E1137X1,E1137X2,E1137X3,E1137X9,E1139,E1140,E1141,E1142,E1143,E1144,E1149,E1151,E1152,E1159,E11610,E11618,E11620,E11621,E11622,E11630,E11641,E11649,E1165,E1169,E118,E119,E1300,E1301,E1310,E1311,E1321,E1322,E1329,E13311,E13319,E133211,E133212,E133213,E133219,E133291,E133292,E133299,E133311,E133312,E133313,E133319,E133391,E133392,E133393,E133399,E133411,E133412,E133413,E133419,E133491",1,,,
Anemia,"D500,D501,D508,D509,D510,D511,D512,D513,D518,D519,D520,D521,D528,D529,D530,D531,D532,D538,D539,D631,D640,D641,D642,D643,D644,D6481,D6489,D649",1,,,
Severe_Renal_Disease,"N185,N186,N189,N250,Z4901,Z4902,Z4931,Z4932,I120,I1311,I132",0,,,
Prior_Hemorrahge,"I6010,I6011,I6012,I602,I6030,I6031,I6032,I604,I6050,I6051,I6052,I606,I607,I608,I609,I610,I611,I612,I613,I614,I615,I616,I618,I619,I6200,I6201,I6202,I6203,I621,I629,H356,H313,H431,H431,H0523,I8501,I8511,K2091,K2921,K2931,K2941,K2951,K2961,K2971,K2981,K2991,K920,K921,K922,K5701,K5721,K5731,K5733,K5741,K5781,K625,M250,M7981,K661",0,,,
